INFORME COVID19 REGIONAL DIARIO A   25/11/2020;;;;;;;;
;;;;;;;;
Tabla 1. Casos confirmados COVID19 desde 10 de mayo por municipio residencia (N=52138). Región de Murcia;;;;;;;;
Municipio;Población;Casos PCR/Ag.+ acum.;% Total casos;IA*;Casos PCR/Ag.+ últ.14 días;IA* últ.14 días;Casos PCR/Ag.+ últ. 7 días;IA* últ.7 días
Cartagena / Santa Ana;19191;320;1667,448283;58;302,2250013;27;140,6909489;
Cartagena / Santa Lucía;10425;123;1179,856115;8;76,73860911;6;57,55395683;
Cartagena / La Manga;6866;68;990,3874163;11;160,2097291;5;72,82260414;
Cehegín;14606;442;3026,153635;96;657,264138;19;130,0835273;
Ceutí;11787;520;4411,639942;38;322,3890727;14;118,7749215;
Cieza / Este;16485;499;3026,994237;56;339,7027601;25;151,6530179;
Cieza / Oeste;18503;468;2529,31957;63;340,4853267;15;81,06793493;
Fortuna;10112;507;5013,844937;15;148,3386076;7;69,22468354;
Fuente Álamo;16583;745;4492,552614;84;506,5428451;19;114,5751673;
Jumilla;25600;1663;6496,09375;164;640,625;72;281,25;
La Unión;20411;394;1930,331684;76;372,3482436;24;117,5836559;
Librilla;5305;134;2525,918944;16;301,602262;4;75,4005655;
Lorca / Centro;18614;1184;6360,803696;82;440,5286344;28;150,4244117;
Lorca / La Paca;3352;105;3132,458234;8;238,6634845;0;0;
Lorca / San Diego;20480;1425;4671,518489;135;442,5649095;43;140,9651193;
Lorca / San José;24876;1293;5197,780994;89;357,7745618;25;100,4984724;
Lorca / Sutullena;14506;418;2881,566248;40;275,7479664;12;82,72438991;
Lorca San Cristóbal;10024;0;0;0;0;0;0;
Lorquí;7141;288;4033,048593;15;210,0546142;7;98,02548663;
Los Alcázares;16138;435;2695,501301;112;694,0141281;54;334,6139546;
Mazarrón;19343;385;1990,384118;52;268,8311017;25;129,245722;
Mazarrón / Puerto;14195;392;2761,535752;48;338,1472349;20;140,8946812;
Molina / Este;28158;354;1257,191562;24;85,23332623;8;28,41110874;
Molina / Norte;22005;739;3358,327653;42;190,8657123;14;63,62190411;
Molina / Sur;21727;1239;5702,582041;88;405,0260045;37;170,2950246;
Moratalla;7668;266;3468,96192;25;326,0302556;7;91,28847157;
Mula;24131;796;3298,661473;80;331,5237661;33;136,7535535;
Murcia / Algezares;12984;299;2302,834258;50;385,0893407;18;138,6321627;
Murcia / Aljucer;7699;221;2870,502663;40;519,5479932;12;155,864398;
Murcia / Alquerías;14611;479;3278,351927;39;266,9221819;11;75,28574362;
Murcia / Barrio de El Carmen;16447;953;5794,369794;75;456,0102146;28;170,2438135;
Murcia / Beniaján;28622;706;2466,634058;68;237,5794843;20;69,87631892;
Murcia / Cabezo de Torres;21701;541;2492,972674;47;216,5798811;16;73,72932123;
Murcia / Campo de Cartagena;11708;316;2699,009224;32;273,3173898;8;68,32934745;
Murcia / Centro;19640;486;2474,541752;43;218,9409369;6;30,54989817;
Murcia / El Palmar;23889;968;4052,074176;140;586,0437858;46;192,5572439;
Murcia / El Ranero;12534;354;2824,317855;29;231,3706718;10;79,78299027;
Murcia / Espinardo;26474;580;2190,828738;66;249,3012012;12;45,32749112;
Murcia / Floridabanca;10748;534;4968,366208;53;493,1149981;20;186,0811314;
Murcia / Infante Juan Manuel;18164;616;3391,323497;65;357,8506937;26;143,1402775;
Murcia / La Alberca;18920;526;2780,12685;68;359,4080338;7;36,99788584;
Murcia / La Ñora;13158;380;2887,976896;37;281,1977504;10;75,999392;
Murcia / Llano de Brujas;13119;326;2484,945499;35;266,7886272;14;106,7154509;
Murcia / Monteagudo;14241;292;2050,417808;31;217,6813426;6;42,13187276;
Murcia / Nonduermas;12785;487;3809,151349;53;414,5482988;22;172,0766523;
Murcia / Puente Tocinos;16655;637;3824,677274;47;282,1975383;12;72,0504353;
Murcia / San Andrés;26777;1114;4160,286813;98;365,985734;22;82,16006274;
Murcia / Sangonera la Verde;12296;471;3830,513988;65;528,6271958;14;113,8581653;
Murcia / Santa María de Gracia;12406;407;3280,670643;42;338,5458649;13;104,7880058;
Murcia / Santiago El Mayor;27142;909;3349,053128;91;335,2737455;28;103,1611525;
Murcia / Santiago y Zaraiche**;16613;0;0;0;0;0;0;
Murcia / Vista Alegre;15916;827;2542,346829;75;230,5634972;18;55,33523932;
Murcia / Vistabella;14864;691;4648,815931;61;410,3875135;20;134,5532831;
Murcia / Zarandona;6936;171;2465,397924;11;158,5928489;5;72,08765859;
Puerto Lumbreras;17879;372;2080,65328;77;430,6728564;35;195,7603893;
San Javier;30286;1026;3387,70389;197;650,4655616;111;366,5059764;
San Pedro del Pinatar;25476;558;2190,29675;84;329,7220914;26;102,0568378;
Santomera;16206;455;2807,602123;30;185,1166235;9;55,53498704;
Torre Pacheco / Este;18795;842;4479,914871;113;601,2237297;55;292,6310189;
Torre Pacheco / Oeste;16881;624;3696,46348;115;681,2392631;38;225,1051478;
Torres de Cotillas;21471;742;3455,824135;51;237,5296912;25;116,4361231;
Totana / Norte;18986;1481;7800,484568;135;711,0502476;49;258,0849047;
Totana / Sur;14044;1216;8658,501851;153;1089,43321;79;562,5178012;
Yecla / Este;18667;768;4114,212246;236;1264,263138;74;396,4214925;
Yecla Oeste;15765;558;3539,486204;156;989,5337774;37;234,6971139;
Otras CCAA;0;1140;0;117;0;45;0;
Desconocido;0;2334;0;194;0;52;0;
Región de Murcia;1493898;52133;3489,729553;5922;396,4126065;2045;136,8902027;
"** Los casos de Murcia / Santiago y Zaraiche pertenecen a la zona Murcia / Vista Alegre; Lorca San Cristóbal pertenecen a Lorca / San Diego";;;;;;;;
*  IA: Incidencia acumulada por 100.000 habitantes;;;;;;;;
Fuente: Servicio de Epidemiología. D.G. Salud Pública y Adicciones;;;;;;;;
;;;;;;;;
Los datos diarios mostrados en este fichero son provisionales y deben interpretarse con precaución por ser información dependiente del momento de su extracción.;;;;;;;;
El Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones no se responsabiliza de los resultados derivados del uso de estos datos por parte de los usuarios de los mismos. Además, cualquier usuario se compromete a citar, en cualquier publicación obtenida a partir de ellos, al El Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones de la Consejería de Salud como fuente del dato primario, así como a que el grado de exactitud o fiabilidad de la información derivada por elaboración propia de los autores es de la exclusiva responsabilidad de estos.;;;;;;;;
