INFORME COVID19 REGIONAL DIARIO A   17/11/2020;;;;;;;;
;;;;;;;;
Tabla 1. Casos confirmados COVID19 desde 10 de mayo por municipio residencia (N=49387). Región de Murcia;;;;;;;;
Municipio;Población;Casos PCR/Ag.+ acum.;% Total casos;IA*;Casos PCR/Ag.+ últ.14 días;IA* últ.14 días;Casos PCR/Ag.+ últ. 7 días;IA* últ.14 días
Murcia / Espinardo;26474;562;2122,837501;170;642,1394576;67;253,0784921;
Murcia / Floridabanca;10748;509;4735,764793;96;893,1894306;38;353,5541496;
Murcia / Infante Juan Manuel;18164;583;3209,645453;126;693,6798062;40;220,2158115;
Murcia / La Alberca;18920;510;2695,560254;136;718,8160677;60;317,1247357;
Murcia / La Ñora;13158;369;2804,377565;101;767,5938592;33;250,7979936;
Murcia / Llano de Brujas;13119;306;2332,494855;72;548,8223188;23;175,3182407;
Murcia / Monteagudo;14241;281;1973,176041;76;533,6703883;39;273,857173;
Murcia / Nonduermas;12785;457;3574,501369;110;860,3832616;31;242,4716465;
Murcia / Puente Tocinos;16655;624;3746,622636;102;612,4287001;37;222,1555089;
Murcia / San Andrés;26777;1072;4003,435784;184;687,1568884;83;309,9675094;
Murcia / Sangonera la Verde;12296;451;3667,859466;128;1040,988939;58;471,6981132;
Murcia / Santa María de Gracia;12406;388;3127,518942;80;644,8492665;36;290,1821699;
Murcia / Santiago El Mayor;27142;877;3231,154668;193;711,0750866;71;261,587208;
Murcia / Santiago y Zaraiche**;16613;0;0;0;0;0;0;
Murcia / Vista Alegre;15916;797;2450,12143;144;442,6819146;54;166,005718;
Murcia / Vistabella;14864;664;4467,168999;133;894,7793326;48;322,9278794;
Murcia / Zarandona;6936;161;2321,222607;36;519,0311419;8;115,3402537;
Puerto Lumbreras;17879;331;1851,333967;84;469,8249343;47;262,878237;
San Javier;30286;895;2955,1608;247;815,5583438;83;274,0540184;
San Pedro del Pinatar;25476;524;2056,837808;157;616,2662898;54;211,9642016;
Santomera;16206;440;2715,043811;41;252,9927187;15;92,55831174;
Torre Pacheco / Este;18795;780;4150,039904;138;734,2378292;61;324,5544028;
Torre Pacheco / Oeste;16881;569;3370,653397;153;906,3444109;73;432,4388366;
Torres de Cotillas;21471;714;3325,415677;145;675,3295142;38;176,9829072;
Totana / Norte;18986;1426;7510,79743;200;1053,407774;92;484,5675761;
Totana / Sur;14044;1121;7982,056394;182;1295,927086;75;534,0358872;
Yecla / Este;18667;653;3498,151819;311;1666,041678;175;937,4832592;
Yecla Oeste;15765;491;3114,494133;237;1503,330162;134;849,9841421;
Otras CCAA;0;1530;0;315;0;144;0;
Desconocido;0;2218;0;340;0;135;0;
Región de Murcia;1493898;49387;3305,915129;10396;695,897578;4151;277,8636828;
** Los casos de Murcia / Santiago y Zaraiche pertenecen a la zona Murcia / Vista Alegre;;;;;;;;
*  IA: Incidencia acumulada por 100.000 habitantes;;;;;;;;
Fuente: Servicio de Epidemiología. D.G. Salud Pública y Adicciones;;;;;;;;
;;;;;;;;
Los datos diarios mostrados en este fichero son provisionales y deben interpretarse con precaución por ser información dependiente del momento de su extracción.;;;;;;;;
El Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones no se responsabiliza de los resultados derivados del uso de estos datos por parte de los usuarios de los mismos. Además, cualquier usuario se compromete a citar, en cualquier publicación obtenida a partir de ellos, al El Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones de la Consejería de Salud como fuente del dato primario, así como a que el grado de exactitud o fiabilidad de la información derivada por elaboración propia de los autores es de la exclusiva responsabilidad de estos.;;;;;;;;
