Lat;Lon;Title;PCR REALIZADOS;TOTAL ACUMULADO;POSITIVOS;NEGATIVOS;ACUMULADO POSITIVO;ACUMULADO NEGATIVO;NUEVOS CASOS ACUMULADO 14 DIAS;NUEVOS CASOS ACUMULADO 7 DIAS;TASA IA 14;TASA IA 7
42.4479948;-2.8877928;HERVIAS;0;55;0;0;11;44;1;0;-1;-1
42.4378628;-2.7747342;HORMILLA;0;100;0;0;5;95;2;0;-1;-1
42.455544;-2.7309573;HORMILLEJA;1;71;0;2;17;54;8;8;-1;-1
42.3919433;-2.5851743;HORNOS DE MONCALVILLO;0;9;0;0;0;9;0;0;-1;-1
42.4287945;-2.6944867;HUERCANOS;3;193;1;3;19;174;7;6;-1;-1
42.0686394;-2.0092614;IGEA;3;145;0;3;16;129;0;0;-1;-1
42.21802;-2.48867;JALON DE CAMEROS;0;1;0;0;0;1;0;0;-1;-1
42.1749;-2.5427;LAGUNA DE CAMEROS;0;9;0;0;0;9;0;0;-1;-1
42.333727;-2.3223243;LAGUNILLA DEL JUBERA;0;138;0;0;2;136;1;1;-1;-1
42.4272883;-2.4624393;LARDERO;19;3835;1;28;358;3477;35;24;333.3333;228.5714
42.5029174;-3.04658;LEIVA;0;152;0;0;23;129;1;1;-1;-1
42.3292496;-2.4060612;LEZA DE RIO LEZA;0;11;0;0;1;10;0;0;-1;-1
42.4661196;-2.4396676;LOGROÑO;246;60406;33;2607;5582;54824;819;492;541.896;325.5346
41.1968141;-2.9940802;LUMBRERAS;0;11;0;0;2;9;1;1;-1;-1
42.3918759;-2.6758322;MANJARRES;0;24;0;0;4;20;2;0;-1;-1
42.1532975;-2.9446257;MANSILLA DE LA SIERRA;0;4;0;0;0;4;0;0;-1;-1
42.3951436;-2.895125;MANZANARES DE RIOJA;0;26;0;0;11;15;0;0;-1;-1
42.2984492;-2.7954527;MATUTE;0;13;0;0;0;13;0;0;-1;-1
42.3828173;-2.5538784;MEDRANO;1;157;0;1;7;150;0;0;-1;-1
42.188585;-2.2954756;MUNILLA;0;21;0;0;1;20;0;0;-1;-1
42.4028997;-2.3246959;MURILLO DE RIO LEZA;2;437;0;2;38;399;14;12;859.423;736.6483
42.1334505;-2.1120071;MURO DE AGUAS;0;11;0;0;0;11;0;0;-1;-1
42.416745;-2.7336874;NAJERA;4;2623;0;6;269;2354;25;7;310.752;87.0106
42.3351254;-2.4882778;NALDA;1;290;0;1;22;268;1;1;97.7517;97.7517
41.964573;-2.0987907;NAVAJUN;0;1;0;0;0;1;0;0;-1;-1
42.4289697;-2.5616234;NAVARRETE;2;966;1;1;76;890;9;2;306.0184;68.0041
42.2704007;-2.6198894;NESTARES;0;21;0;0;2;19;0;0;-1;-1
42.2187843;-2.6675237;NIEVA DE CAMEROS;0;15;0;0;3;12;0;0;-1;-1
42.5248501;-3.0029945;OCHANDURI;0;45;0;0;11;34;0;0;-1;-1
42.2985526;-2.2453417;OCON;0;31;0;0;3;28;0;0;-1;-1
42.3467292;-3.0049378;OJACASTRO;0;45;0;1;4;41;0;0;-1;-1
42.5423293;-2.8327232;OLLAURI;0;70;0;0;10;60;0;0;-1;-1
42.3003186;-2.7186216;PEDROSO;0;4;0;0;0;4;0;0;-1;-1
42.1994892;-2.5973975;PINILLOS;0;2;0;0;0;2;0;0;-1;-1
42.3343295;-2.0688783;PRADEJON;9;1064;2;7;156;908;28;15;723.3273;387.4968
42.1773122;-2.6413811;PRADILLO;0;17;0;0;0;17;1;1;-1;-1
42.1866215;-2.1796033;PREJANO;1;42;0;1;4;38;0;0;-1;-1
42.228438;-2.0483069;QUEL;6;627;3;3;53;574;6;3;291.5452;145.7726
42.1896;-2.48673;RABANERA;0;6;0;0;0;6;0;0;-1;-1
42.3381358;-2.2009622;REDAL, EL;0;41;0;0;3;38;3;0;-1;-1
42.3552837;-2.3876788;RIBAFRECHA;3;373;0;5;41;332;8;4;-1;-1
42.2346465;-1.8504938;RINCON DE SOTO;11;2643;3;8;257;2386;17;15;449.3788;396.5107
42.525862;-2.8447876;RODEZNO;0;63;0;0;8;55;0;0;-1;-1
42.5886214;-2.9602638;SAJAZARRA;0;29;0;0;0;29;0;0;-1;-1
42.4980158;-2.7498569;SAN ASENSIO;1;333;0;1;42;291;2;1;179.5332;89.7666
42.3295206;-2.8617801;SAN MILLAN DE LA COGOLLA;0;36;0;0;2;34;0;0;-1;-1
42.5469329;-3.096822;SAN MILLAN DE YECORA;0;2;0;0;0;2;0;0;-1;-1
42.23199;-2.4737;SAN ROMAN DE CAMEROS;0;33;0;0;2;31;0;0;-1;-1
42.4821727;-2.8903548;SAN TORCUATO;0;33;0;0;2;31;0;0;-1;-1
42.5626773;-2.7589811;SAN VICENTE DE LA SONSIERRA;2;359;0;3;30;329;2;1;-1;-1
42.3681935;-2.6563567;SANTA COLOMA;0;12;0;0;2;10;1;1;-1;-1
42.3149914;-2.3061724;SANTA ENGRACIA DEL JUBERA;0;18;0;0;1;17;0;0;-1;-1
42.2097339;-2.1912785;SANTA EULALIA BAJERA;2;27;0;2;2;25;0;0;-1;-1
